project_id,questions_count
10128538,33
142049701,3281
208231381,7
455524,2
37943987,1
22357312,7317
38969452,7969
3131169,6
6952546,6
56381009,41420
70797920,11
215694883,998
137066605,66
9250155,5
68174599,40
89292055,104
79039835,5
7228447,8
153997424,12
109850487,1
847032,1
7511359,8
130106,1
58234042,31
8088247,3
6111908,30
107913769,31
73146086,50
85968780,8
115488380,1
149438,36
75983689,1
29424957,2
65668705,3
15903181,3
27460436,2
194179465,40
3544,100
358983,2
14336159,125
56503576,127
6045500,318
17436445,3
36463647,12
13399091,3937
64057911,1
42648621,24363
305823619,10
143505750,6
11793709,2
44631991,1
67034129,6423
18022655,2
84145544,3
47034699,7
41966600,105
56257169,3
43336041,6
5505772,32
93836971,1
26646965,31
26396073,97
27086891,3
1427654,86
2523102,1
122559979,1
24547633,596211
21953558,41
187053427,24483
110438547,26
15117608,122
16641254,18
20939175,1
119493849,356
113790946,1
60462847,60
52637329,19472
33139360,1
164925820,19
6815113,3
26024831,37184
158284147,17
74101353,6
155608432,788
118615963,7981
63701308,1
12215470,56
21894018,1
1039256,127
75282602,4914
174367087,7
207256599,1086
168100667,7
103300409,12
132187910,5994
48185947,20
1672343,2
195482125,969
7776734,279
123813971,2
98294488,2
101327624,94
112131383,372
6288412,2
77037637,9
28907358,1
73347068,1
297851866,1
26944862,64539
8233687,18
8846416,2
5291793,2
18078246,1
22794997,5
42683851,1
100783,2
21805170,10
1680851,3
57105206,1
14054081,2
133669377,4
31424821,1
163317562,87
59388509,3
12487414,1122
116418533,4
81516256,1
123601878,1
877745,1
30666,3
43682673,24
895388,1
429657,2
70380227,2945
48424704,101
79842860,1
31472830,2
95705861,146
11729157,78
111881644,94
56336956,26
15107468,1
142131931,10003
56376466,7163
1807458,1
9529772,47186
92632486,284
99679103,215
41439046,1
128366853,6
39873448,3
1978451,384
32544067,10
16296941,7
653511,46
18744870,1
66935235,3
7829135,93
45800885,5406
50723623,9
13535786,596211
112201527,2
22798555,35
138410962,2
76990241,171
124440925,1
169009990,1
59626,1
29209363,1
38167939,6
76904597,5
108104000,7163
23099185,2
34092016,2
79075810,9349
24250285,2
56869944,30193
19889443,6848
86986442,1
242614959,2
109374949,7163
137232305,112675
84053484,60
139356818,22
61861917,275
27013952,3
7085405,17
17406380,3
240876,1
1266167,1
3636695,132
32864761,1
15195776,44
2074077,10
14284929,1
8659770,776
49033872,95
7590008,71591
6018440,3
102852147,7
26919183,90091
12179188,26
150401686,9
1788404,2
480246,1
284367,23
12857236,52
88359759,1
30567587,5476
85610539,3188
172351720,297388
19297959,112442
214762583,259
38602232,4
8447572,3
14316123,7
21551726,1
36932593,1
18809744,1281
9015137,19
37912673,1
1654364,1
59329967,42
25640917,1
30079086,5
186183159,1
148485717,2935
123065486,1
31545433,3
36293788,16
79057598,10
119061755,3885
145773798,1
246456251,17448
223904871,1
257913595,1
130965,3200
9689852,18
11785412,2
45908,8
1648874,35
45563285,3
17226667,5
47317610,2629
186547619,1
56182613,1
40183346,17
8123532,3
101394229,15
133895858,7
25507370,14
136839093,28
10021251,2
76080826,3
7113762,6747
14530760,15
5446569,2464
29333790,3
198571970,4
2476972,8
29778108,631
41809473,340
35680217,94
118187374,400
8080521,45297
94148671,1
2682833,7
243488245,36
1873787,5
16317699,6
48350697,3478
167983335,1
175102155,11
276456062,2
2956312,71
7437767,2
172566097,22
7790606,1
199923884,1
28470,1
93583763,4545
190355312,15
36616534,4
3584471,4
101936984,4
27747648,5
54355786,3
20196896,4
135509336,2
78658564,109
99413580,2
64438292,14
141785346,4286
7094856,56
250745997,59
129358898,120
3883664,50
41909130,1
12254089,1
102922278,2408
200497240,16
66615302,3
8488880,20970
101927481,11
12973900,1
146212351,1
602587,32036
27732363,1
1781415,13
23243905,2
180178405,1
125073871,6
55571336,79
32488970,413
35509388,4
67423853,2
42021721,295
112313811,2
15310818,2
244594287,5
7075980,1
38620118,1
3010630,12
50236311,71
18665039,1
48369381,1
58957505,7
469191,2471
7362621,191
101895486,7
51422660,97
105164416,1
127707491,1
109332441,7
77272865,9
1072057,3
43590761,3927
26826032,11321
13960263,12293
23057420,7746
778976,9
56882754,17
4015940,1
264349234,17
34516418,39
4531751,9
112615357,1
456691,664
57325338,19
167410158,1
272239714,20968
247593702,24144
45953649,89
23458369,3
121025800,361
32802076,1
92894014,232
5364866,111
30992098,1
94199673,1
52609556,50
140631483,97
43509503,9
2530774,3
131901079,1
73737236,1
91378740,2
95567913,1
6147653,6
1601450,1
6994978,4082
2549826,3
116602018,41
190522829,36172
87934540,598
